episode,epsilon,reward,total_frames
1,0.9989200000000003,12.0,7
2,0.9926200000000017,36.0,43
3,0.9904600000000022,13.0,56
4,0.9863200000000032,24.0,80
5,0.9816400000000043,27.0,107
6,0.9766000000000055,29.0,136
7,0.974440000000006,13.0,149
8,0.9708400000000068,21.0,170
9,0.9674200000000076,20.0,190
10,0.9647200000000082,16.0,206
11,0.961480000000009,19.0,225
12,0.9519400000000112,54.0,279
13,0.9454600000000127,37.0,316
14,0.9319600000000159,76.0,392
15,0.9290800000000166,17.0,409
16,0.9211600000000184,45.0,454
17,0.9177400000000192,20.0,474
18,0.91414000000002,21.0,495
19,0.9116200000000206,15.0,510
20,0.9098200000000211,11.0,521
21,0.9073000000000216,15.0,536
22,0.9046000000000223,16.0,552
23,0.8993800000000235,30.0,582
24,0.8975800000000239,11.0,593
25,0.8947000000000246,17.0,610
26,0.8911000000000254,21.0,631
27,0.8876800000000262,20.0,651
28,0.884260000000027,20.0,671
29,0.8804800000000279,22.0,693
30,0.8774200000000286,18.0,711
31,0.87166000000003,33.0,744
32,0.8662600000000312,31.0,775
33,0.8648200000000316,9.0,784
34,0.8615800000000323,19.0,803
35,0.8540200000000341,43.0,846
36,0.849880000000035,24.0,870
37,0.8473600000000356,15.0,885
38,0.8423200000000368,29.0,914
39,0.8405200000000372,11.0,925
40,0.8385400000000377,12.0,937
41,0.8365600000000382,12.0,949
42,0.8344000000000387,13.0,962
43,0.8146000000000433,111.0,1073
44,0.8099200000000444,27.0,1100
45,0.8047000000000456,30.0,1130
46,0.7967800000000475,45.0,1175
47,0.7933600000000482,20.0,1195
48,0.7883200000000494,29.0,1224
49,0.7796800000000514,49.0,1273
50,0.7715800000000533,46.0,1319
51,0.7660000000000546,32.0,1351
52,0.7541200000000574,67.0,1418
53,0.7467400000000591,42.0,1460
54,0.7445800000000596,13.0,1473
55,0.7377400000000612,39.0,1512
56,0.7357600000000617,12.0,1524
57,0.730180000000063,32.0,1556
58,0.725860000000064,25.0,1581
59,0.7206400000000652,30.0,1611
60,0.7190200000000656,10.0,1621
61,0.6981400000000705,117.0,1738
62,0.6907600000000722,42.0,1780
63,0.6841000000000738,38.0,1818
64,0.6722200000000765,67.0,1885
65,0.6668200000000778,31.0,1916
66,0.6581800000000798,49.0,1965
67,0.6468400000000825,64.0,2029
68,0.6110200000000908,200.0,2229
69,0.5892400000000959,122.0,2351
70,0.5789800000000983,58.0,2409
71,0.5602600000001027,105.0,2514
72,0.5492800000001052,62.0,2576
73,0.5395600000001075,55.0,2631
74,0.5276800000001103,67.0,2698
75,0.4945600000001163,185.0,2883
76,0.4589200000001136,199.0,3082
77,0.437500000000112,120.0,3202
78,0.42328000000011096,80.0,3282
79,0.3892600000001084,190.0,3472
80,0.35794000000010606,175.0,3647
81,0.3224800000001034,198.0,3845
82,0.290080000000101,181.0,4026
83,0.2692000000000994,117.0,4143
84,0.26560000000009915,21.0,4164
85,0.22978000000009646,200.0,4364
86,0.19396000000009378,200.0,4564
87,0.1621000000000914,178.0,4742
88,0.1262800000000887,200.0,4942
89,0.1,176.0,5118
90,0.1,200.0,5318
91,0.1,200.0,5518
92,0.1,200.0,5718
93,0.1,200.0,5918
94,0.1,200.0,6118
95,0.1,196.0,6314
96,0.1,11.0,6325
97,0.1,200.0,6525
98,0.1,108.0,6633
99,0.1,135.0,6768
100,0.1,176.0,6944
